Size,Capacity,FloorID,RoomNumber
439,1,1,100
431,3,1,101
426,1,1,102
458,4,1,103
335,4,1,104
425,2,1,105
384,4,1,106
490,1,1,107
302,1,1,108
315,1,1,109
593,4,1,110
358,1,1,111
446,1,1,112
452,2,1,113
380,4,1,114
311,2,1,115
446,1,1,116
467,2,1,117
597,4,1,118
398,1,1,119
390,1,1,120
489,2,1,121
497,2,1,122
452,4,1,123
366,4,1,124
406,2,1,125
559,2,1,126
558,4,1,127
586,4,1,128
400,4,1,129
550,4,1,130
354,1,1,131
375,3,1,132
342,2,1,133
395,3,1,134
355,4,1,135
553,3,1,136
552,2,1,137
305,3,1,138
484,4,1,139
330,4,1,140
564,3,1,141
520,4,1,142
398,2,1,143
550,3,1,144
516,3,1,145
449,4,1,146
506,2,1,147
600,4,1,148
310,1,1,149
